date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:37	126090/126090	---M--	200	added ('OK')	application/octet-stream	etag:%22014f313973bbd47b63a25fb2a912ed3b%22	https://documents.iplt20.com/resizedimageskirti/3588749423001/5285c396-24b0-4a48-bb72-926956b4515a/e10c370f-8118-4c3d-9a82-5340f1eef279/1280x720/match/image_compress.jpeg	C:/My%20Web%20Sites/ipl/documents.iplt20.com/resizedimageskirti/3588749423001/5285c396-24b0-4a48-bb72-926956b4515a/e10c370f-8118-4c3d-9a82-5340f1eef279/1280x720/match/image_compress.jpeg	(from https://www.iplt20.com/video/49545/m47-srh-vs-kkr--harshit-rana-wicket?tagNames=2023)
11:51:39	214720/214720	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:38%20GMT	https://www.iplt20.com/video/58617/final-kkr-vs-srh--sunil-narine-wicket	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/58617/final-kkr-vs-srh--sunil-narine-wicket.html	(from https://www.iplt20.com/video/58617/final-kkr-vs-srh--sunil-narine-wicket?tagNames=2024)
11:51:40	70695/70695	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jun%202024%2007:10:02%20GMT	https://brightcove.iplt20.com/output/input/6353719281112-1718089800.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6353719281112-1718089800.jpg	(from https://www.iplt20.com/video/58617/final-kkr-vs-srh--sunil-narine-wicket?tagNames=2024)
11:51:41	214676/214676	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:40%20GMT	https://www.iplt20.com/video/58618/final-kkr-vs-srh--sunil-narine-six	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/58618/final-kkr-vs-srh--sunil-narine-six.html	(from https://www.iplt20.com/video/58618/final-kkr-vs-srh--sunil-narine-six?tagNames=2024)
11:51:42	61073/61073	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jun%202024%2006:40:06%20GMT	https://brightcove.iplt20.com/output/input/6353720847112-1718088004.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6353720847112-1718088004.jpg	(from https://www.iplt20.com/video/58618/final-kkr-vs-srh--sunil-narine-six?tagNames=2024)
11:51:43	214678/214678	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:42%20GMT	https://www.iplt20.com/video/58296/q1-kkr-vs-srh--sunil-narine-wicket	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/58296/q1-kkr-vs-srh--sunil-narine-wicket.html	(from https://www.iplt20.com/video/58296/q1-kkr-vs-srh--sunil-narine-wicket?tagNames=2024)
11:51:44	87002/87002	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20May%202024%2014:56:23%20GMT	https://brightcove.iplt20.com/output/input/6353382032112-1716389780.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6353382032112-1716389780.jpg	(from https://www.iplt20.com/video/58296/q1-kkr-vs-srh--sunil-narine-wicket?tagNames=2024)
11:51:45	214622/214622	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:44%20GMT	https://www.iplt20.com/video/58291/446-narine-gurbaz-attack-early	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/58291/446-narine-gurbaz-attack-early.html	(from https://www.iplt20.com/video/58291/446-narine-gurbaz-attack-early?tagNames=2024)
11:51:46	63835/63835	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20May%202024%2014:46:25%20GMT	https://brightcove.iplt20.com/output/input/6353382990112-1716389183.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6353382990112-1716389183.jpg	(from https://www.iplt20.com/video/58291/446-narine-gurbaz-attack-early?tagNames=2024)
11:51:48	212831/212831	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:47%20GMT	https://www.iplt20.com/video/57372/m60-kkr-vs-mi--sunil-narine-wicket	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/57372/m60-kkr-vs-mi--sunil-narine-wicket.html	(from https://www.iplt20.com/video/57372/m60-kkr-vs-mi--sunil-narine-wicket?tagNames=2024)
11:51:49	74664/74664	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2019:54:27%20GMT	https://brightcove.iplt20.com/output/input/6352745406112-1715457266.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6352745406112-1715457266.jpg	(from https://www.iplt20.com/video/57372/m60-kkr-vs-mi--sunil-narine-wicket?tagNames=2024)
11:51:50	215340/215340	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:49%20GMT	https://www.iplt20.com/video/56784/m54-lsg-vs-kkr--angelone-super-6-of-the-match--sunil-narine	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/56784/m54-lsg-vs-kkr--angelone-super-6-of-the-match--sunil-narine.html	(from https://www.iplt20.com/video/56784/m54-lsg-vs-kkr--angelone-super-6-of-the-match--sunil-narine?tagNames=2024)
11:51:51	276297/276297	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/c0dcdb72-3a1a-4d58-86b0-ccb66b016b2f/72d42b94-78c2-407b-8871-7af298656c66/1200x627/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/c0dcdb72-3a1a-4d58-86b0-ccb66b016b2f/72d42b94-78c2-407b-8871-7af298656c66/1200x627/match/image.jpg	(from https://www.iplt20.com/video/56784/m54-lsg-vs-kkr--angelone-super-6-of-the-match--sunil-narine?tagNames=2024)
